address,lat_tweet,long_tweet,lat_trunc,long_trunc,created,text,long,lat,group,order,region,subregion
NA,NA,NA,NA,NA,2019-01-17T03:07:34Z,"Congrats FF Jimmy Thompson, retiring after 25 yrs in Midtown https://t.co/WFkxDFi7Ao",NA,NA,NA,NA,NA,NA
"132 East 45th Street Near 3rd Avenue, Manhattan",40.7528943,-73.9744824,40.8,-74,2019-01-16T20:51:49Z,"Manhattan **66-75-0809** 132 East 45th Street Near 3rd Avenue, Battalion 8 is transmitting the 10-77 (Hi-Rise Resid… https://t.co/ve17kNWMpz",-73.95166015625,40.777408599853516,1,3,new york,manhattan
"132 East 45th Street Near 3rd Avenue, Manhattan",40.7528943,-73.9744824,40.8,-74,2019-01-16T20:51:49Z,"Manhattan **66-75-0809** 132 East 45th Street Near 3rd Avenue, Battalion 8 is transmitting the 10-77 (Hi-Rise Resid… https://t.co/ve17kNWMpz",-73.96311950683594,40.75448989868164,1,4,new york,manhattan
"132 East 45th Street Near 3rd Avenue, Manhattan",40.7528943,-73.9744824,40.8,-74,2019-01-16T20:51:49Z,"Manhattan **66-75-0809** 132 East 45th Street Near 3rd Avenue, Battalion 8 is transmitting the 10-77 (Hi-Rise Resid… https://t.co/ve17kNWMpz",-74.00322723388672,40.76594543457031,1,10,new york,manhattan
"132 East 45th Street Near 3rd Avenue, Manhattan",40.7528943,-73.9744824,40.8,-74,2019-01-16T20:51:49Z,"Manhattan **66-75-0809** 132 East 45th Street Near 3rd Avenue, Battalion 8 is transmitting the 10-77 (Hi-Rise Resid… https://t.co/ve17kNWMpz",-73.974578857421875,40.79459762573242,1,11,new york,manhattan
"132 East 45th Street Near 3rd Avenue, Manhattan",40.7528943,-73.9744824,40.8,-74,2019-01-16T20:51:49Z,"Manhattan **66-75-0809** 132 East 45th Street Near 3rd Avenue, Battalion 8 is transmitting the 10-77 (Hi-Rise Resid… https://t.co/ve17kNWMpz",-73.95166015625,40.83470153808594,1,12,new york,manhattan
"3438 Jerome Ave x E 208 St, Bronx*10-75",40.8812508,-73.88252539999999,40.9,-73.9,2019-01-16T19:54:16Z,Bronx*10-75 box 3568* 3438 Jerome Ave x E 208 St. BC27 has an electrical fire in a fish market,-73.91728210449219,40.90345764160156,2,258,new york,main
"3438 Jerome Ave x E 208 St, Bronx*10-75",40.8812508,-73.88252539999999,40.9,-73.9,2019-01-16T19:54:16Z,Bronx*10-75 box 3568* 3438 Jerome Ave x E 208 St. BC27 has an electrical fire in a fish market,-73.91155242919922,40.90918731689453,2,259,new york,main
"Richmond Hill Rd &amp; Marsh Ave, Staten",40.5817795,-74.1588842,40.6,-74.2,2019-01-16T18:29:42Z,"Staten Island *MVA/PIN* Richmond Hill Rd &amp; Marsh Ave. Squad 8 used the hurst tool, 2 occupants pinned in a car. Squad 8 &amp; L-87 1st due",-74.203765869140625,40.62843704223633,3,310,new york,staten island
"Richmond Hill Rd &amp; Marsh Ave, Staten",40.5817795,-74.1588842,40.6,-74.2,2019-01-16T18:29:42Z,"Staten Island *MVA/PIN* Richmond Hill Rd &amp; Marsh Ave. Squad 8 used the hurst tool, 2 occupants pinned in a car. Squad 8 &amp; L-87 1st due",-74.243865966796875,40.553951263427734,3,322,new york,staten island
"Richmond Hill Rd &amp; Marsh Ave, Staten",40.5817795,-74.1588842,40.6,-74.2,2019-01-16T18:29:42Z,"Staten Island *MVA/PIN* Richmond Hill Rd &amp; Marsh Ave. Squad 8 used the hurst tool, 2 occupants pinned in a car. Squad 8 &amp; L-87 1st due",-74.23241424560547,40.58259963989258,3,323,new york,staten island
"Richmond Hill Rd &amp; Marsh Ave, Staten",40.5817795,-74.1588842,40.6,-74.2,2019-01-16T18:29:42Z,"Staten Island *MVA/PIN* Richmond Hill Rd &amp; Marsh Ave. Squad 8 used the hurst tool, 2 occupants pinned in a car. Squad 8 &amp; L-87 1st due",-74.22095489501953,40.61124801635742,3,324,new york,staten island
"Richmond Hill Rd &amp; Marsh Ave, Staten",40.5817795,-74.1588842,40.6,-74.2,2019-01-16T18:29:42Z,"Staten Island *MVA/PIN* Richmond Hill Rd &amp; Marsh Ave. Squad 8 used the hurst tool, 2 occupants pinned in a car. Squad 8 &amp; L-87 1st due",-74.203765869140625,40.62270736694336,3,325,new york,staten island
"177 Amity St off Court St, Brooklyn",40.6888894,-73.99430579999999,40.7,-74,2019-01-16T18:26:43Z,Brooklyn *77-75-0534* 177 Amity St off Court St. Fire 1st floor 4 story non-fireproof 60x40. E-226 &amp; L-110 1st due,-73.9688491821289,40.737300872802734,1,5,new york,manhattan
"177 Amity St off Court St, Brooklyn",40.6888894,-73.99430579999999,40.7,-74,2019-01-16T18:26:43Z,Brooklyn *77-75-0534* 177 Amity St off Court St. Fire 1st floor 4 story non-fireproof 60x40. E-226 &amp; L-110 1st due,-73.974578857421875,40.7258415222168,1,6,new york,manhattan
"177 Amity St off Court St, Brooklyn",40.6888894,-73.99430579999999,40.7,-74,2019-01-16T18:26:43Z,Brooklyn *77-75-0534* 177 Amity St off Court St. Fire 1st floor 4 story non-fireproof 60x40. E-226 &amp; L-110 1st due,-74.00322723388672,40.71438217163086,1,7,new york,manhattan
"177 Amity St off Court St, Brooklyn",40.6888894,-73.99430579999999,40.7,-74,2019-01-16T18:26:43Z,Brooklyn *77-75-0534* 177 Amity St off Court St. Fire 1st floor 4 story non-fireproof 60x40. E-226 &amp; L-110 1st due,-74.020416259765625,40.70865249633789,1,8,new york,manhattan
"177 Amity St off Court St, Brooklyn",40.6888894,-73.99430579999999,40.7,-74,2019-01-16T18:26:43Z,Brooklyn *77-75-0534* 177 Amity St off Court St. Fire 1st floor 4 story non-fireproof 60x40. E-226 &amp; L-110 1st due,-74.026153564453125,40.72010803222656,1,9,new york,manhattan
