text,user_id,status_id,created_at,screen_name
Queens *MVA/PIN* 115 Ave &amp; 200 St. Overturned van with occupant pinned. E-317/L-165 1st due,560024124,1089948361774501900,2019-01-28T18:08:34Z,NYCFireWire
Manhattan *Stuck Elevator* 48 E 65 St off Park Ave. L-16 is extricating a female who was stuck in the elevator since Friday. EMS transporting to Cornell,560024124,1089922223119454200,2019-01-28T16:24:42Z,NYCFireWire
Bronx *66-75-2722* 14 Marcy Pl off Walton Ave. Fire 2nd floor multiple dwelling. All Hands on arrival by the 17 batt.,560024124,1089753156328874e3,2019-01-28T05:12:53Z,NYCFireWire
Eng.88 requesting NYPD ESU forthwith. They have an EDP up on the fire escape about to jump.,560024124,1089751644697493500,2019-01-28T05:06:53Z,NYCFireWire
@CalFireNews Your over your head with this one... stick to Fire News.,560024124,1089710343503396900,2019-01-28T02:22:46Z,NYCFireWire
"Staten Island *MVA/PIN* Box 1744-
490 Harold St off Forest Hill Rd. Hurst tool in operation.",560024124,1084619203167031300,2019-01-14T01:12:23Z,NYCFireWire
Queens 99-75-6810 111-15 227 St BC-54 using all hands for a fire in a pvt dwelling,560024124,1084585222103019500,2019-01-13T22:57:22Z,NYCFireWire
"Manhattan *66-75-1352* 1858 Powell Blvd. Fire apt 1A, 1st floor 6 story 50x75.",560024124,1084381472990076900,2019-01-13T09:27:44Z,NYCFireWire
Staten Island *88-75-0651* 150 fingerboard Rd. Fire in a 1 story commercial,560024124,1084363362086150100,2019-01-13T08:15:46Z,NYCFireWire
Firefighter in harassment suit threatened to kill fellow Bravest 3 times: court records https://t.co/1RI9EEhOx5,560024124,1084286557501251600,2019-01-13T03:10:35Z,NYCFireWire
"Mom whose tot started deadly Bronx fire sues for $1B from stove maker, city https://t.co/QjlTWhZVt1",560024124,1084277293328072700,2019-01-13T02:33:46Z,NYCFireWire
Much love &amp; appreciation to the #NYPD @NYCPBA @SBANYPD Pat Lynch &amp; all other NYPD yesterday for their support as we laid to rest our brother. Their canteen was out providing refreshments on such a cold day. #FDNYPD https://t.co/8J8fhKQcw4,560024124,1084244820862865400,2019-01-13T00:24:44Z,NYCFireWire
FCC: New York is siphoning millions meant for emergency communications https://t.co/gfrEWIQc52,560024124,1084210814968574e3,2019-01-12T22:09:36Z,NYCFireWire
God bless the #NYPD https://t.co/z25Aun01wg,560024124,1084205017475809300,2019-01-12T21:46:34Z,NYCFireWire
Pregnant FDNY worker to de Blasio: Why don’t I get maternity leave? https://t.co/1h8uNpYwJu,560024124,1084090782255120400,2019-01-12T14:12:38Z,NYCFireWire
