long,lat,group,order,region,subregion,lat_trunc,long_trunc
-73.928741455078125,40.806053161621094,1,1,new york,manhattan,40.8,-73.9
-73.934478759765625,40.78886413574219,1,2,new york,manhattan,40.8,-73.9
-73.95166015625,40.777408599853516,1,3,new york,manhattan,40.8,-74
-73.96311950683594,40.75448989868164,1,4,new york,manhattan,40.8,-74
-73.9688491821289,40.737300872802734,1,5,new york,manhattan,40.7,-74
-73.974578857421875,40.7258415222168,1,6,new york,manhattan,40.7,-74
-74.00322723388672,40.71438217163086,1,7,new york,manhattan,40.7,-74
-74.020416259765625,40.70865249633789,1,8,new york,manhattan,40.7,-74
-74.026153564453125,40.72010803222656,1,9,new york,manhattan,40.7,-74
-74.00322723388672,40.76594543457031,1,10,new york,manhattan,40.8,-74
-73.974578857421875,40.79459762573242,1,11,new york,manhattan,40.8,-74
-73.95166015625,40.83470153808594,1,12,new york,manhattan,40.8,-74
-73.934478759765625,40.84043502807617,1,13,new york,manhattan,40.8,-73.9
-73.928741455078125,40.83470153808594,1,14,new york,manhattan,40.8,-73.9
-73.934478759765625,40.8232421875,1,15,new york,manhattan,40.8,-73.9
-73.928741455078125,40.806053161621094,1,16,new york,manhattan,40.8,-73.9
-79.767181396484375,42.26136779785156,2,18,new york,main,42.3,-79.8
-79.69843292236328,42.295745849609375,2,19,new york,main,42.3,-79.7
-79.5494613647461,42.35877227783203,2,20,new york,main,42.4,-79.5
-79.43486785888672,42.42752456665039,2,21,new york,main,42.4,-79.4
-79.406219482421875,42.450443267822266,2,22,new york,main,42.5,-79.4
-79.38330078125,42.47336196899414,2,23,new york,main,42.5,-79.4
-79.34892272949219,42.49054718017578,2,24,new york,main,42.5,-79.3
-79.32027435302734,42.496280670166016,2,25,new york,main,42.5,-79.3
-79.28590393066406,42.513465881347656,2,26,new york,main,42.5,-79.3
-79.21141815185547,42.542118072509766,2,27,new york,main,42.5,-79.2
-79.15985107421875,42.559303283691406,2,28,new york,main,42.6,-79.2
-79.12547302246094,42.57649230957031,2,29,new york,main,42.6,-79.1
